Source,Target,Weight
Accident,PTSD/C-PTSD,20
Alexithymia,Inactivity,10
Alexithymia,Interoception Issues,10
Allergies/Asthma,Brain Fog,10
Allergies/Asthma,Burn(out),5
Allergies/Asthma,Depression,10
Allergies/Asthma,Difficulty Concentrating,5
Allergies/Asthma,Dysregulation,10
Allergies/Asthma,Fatigue,10
Allergies/Asthma,Headache/Migraine,10
Allergies/Asthma,Inactivity,10
Allergies/Asthma,Irritability,10
Allergies/Asthma,Isolation/Loneliness,15
Allergies/Asthma,Meltdown,10
Allergies/Asthma,Shutdown,10
Allergies/Asthma,Skin Problems,20
Allergies/Asthma,Working Memory Issues,15
Anxiety + Social Anxiety,Inactivity,10
Anxiety + Social Anxiety,PTSD/C-PTSD,10
Anxiety + Social Anxiety,Sensory Dysregulation,10
Anxiety + Social Anxiety,Substance Abuse,10
Assault/Abuse/SA,Alexithymia,20
Assault/Abuse/SA,Anxiety + Social Anxiety,20
Assault/Abuse/SA,Avoidance,20
Assault/Abuse/SA,Burn(out),20
Assault/Abuse/SA,Depression,20
Assault/Abuse/SA,Dysregulation,20
Assault/Abuse/SA,Homelessness,20
Assault/Abuse/SA,Inactivity,20
Assault/Abuse/SA,Interoception Issues,20
Assault/Abuse/SA,Meltdown,20
Assault/Abuse/SA,PTSD/C-PTSD,20
Assault/Abuse/SA,Sensory Dysregulation,20
Assault/Abuse/SA,Shutdown,20
Assault/Abuse/SA,SI->MD,20
Assault/Abuse/SA,Stigma,20
Assault/Abuse/SA,Substance Abuse,20
Assault/Abuse/SA,Toxic Stress,20
Assault/Abuse/SA,Trouble Maintaining Relationships,20
Assimilation,Alexithymia,20
Assimilation,Burn(out),20
Assimilation,Interoception Issues,20
Assimilation,Meltdown,20
Assimilation,PTSD/C-PTSD,20
Assimilation,Sensory Dysregulation,20
Assimilation,Shutdown,20
Autoimmune Diseases,Brain Fog,10
Autoimmune Diseases,Depression,2
Autoimmune Diseases,Difficulty Concentrating,10
Autoimmune Diseases,Digestive Problems,2
Autoimmune Diseases,Dry skin/sensitivity to cold,2
Autoimmune Diseases,Fatigue,10
Autoimmune Diseases,Fibromyalgia,2
Autoimmune Diseases,Inactivity,10
Autoimmune Diseases,Recurring fever,2
Autoimmune Diseases,Skin Problems,20
Autoimmune Diseases,Swollen glands,20
Autoimmune Diseases,Weight changes,2
Autoimmune Diseases,Working Memory Issues,2
Bipolar Disorder,Anxiety + Social Anxiety,2
Bipolar Disorder,Cancer,2
Bipolar Disorder,Depression,20
Bipolar Disorder,Dysregulation,20
Bipolar Disorder,Heart Disease,2
Bipolar Disorder,Homelessness,2
Bipolar Disorder,Inactivity,10
Bipolar Disorder,SI->MD,2
Bipolar Disorder,Substance Abuse,2
Bipolar Disorder,Trouble Maintaining Relationships,10
Bipolar Disorder,Weight changes,2
Bullying/Shunning,Alexithymia,6
Bullying/Shunning,Anxiety + Social Anxiety,6
Bullying/Shunning,Avoidance,6
Bullying/Shunning,Burn(out),20
Bullying/Shunning,Depression,15
Bullying/Shunning,Dysregulation,15
Bullying/Shunning,Homelessness,6
Bullying/Shunning,Inactivity,8
Bullying/Shunning,Interoception Issues,6
Bullying/Shunning,Meltdown,20
Bullying/Shunning,PTSD/C-PTSD,
Bullying/Shunning,Sensory Dysregulation,30
Bullying/Shunning,Shutdown,20
Bullying/Shunning,SI->MD,6
Bullying/Shunning,Stigma,10
Bullying/Shunning,Substance Abuse,6
Bullying/Shunning,Toxic Stress,8
